model,balanced_accuracy_mean,bootstrap_95_lower,bootstrap_95_upper,exact_sign_flip_p_vs_0p5
logistic_regression,0.6348061292387149,0.5779709328709194,0.6929787084485842,0.001953125
random_forest,0.6852953276036904,0.6294159642822258,0.7464726596044025,0.0009765625
